replicate,day,arena,focal_sex,treatment,ID,trial_start,mating_start,mating_end,mating_latency,mating_duration,seconds,notes,,"DATE, TIME, and TEMP"
4,1,2,F,NA,7,8:42:51 AM,8:42:59 AM,8:44:15 AM,,0:01:16,76,,,
4,1,3,F,NA,1,8:43:02 AM,8:43:33 AM,8:44:25 AM,,0:00:52,52,,,
4,1,4,F,NA,3,8:43:08 AM,8:43:59 AM,8:46:32 AM,,0:02:33,153,,,
4,1,5,F,NA,9:00,8:43:16 AM,,,,NA,#VALUE!,"Added three more males, exclude ",,
4,1,6,F,NA,0:00,8:43:18 AM,8:43:45 AM,8:45:31 AM,,0:01:46,106,,,
4,1,7,F,NA,9,8:43:25 AM,8:43:48 AM,8:45:30 AM,,0:01:42,102,,,
4,1,8,F,NA,3:00,8:44:45 AM,8:45:13 AM,8:46:44 AM,,0:01:31,91,,,
4,1,9,F,NA,5,8:44:51 AM,8:45:14 AM,8:46:30 AM,,0:01:16,76,,,
4,1,10,F,NA,0,8:44:58 AM,8:45:17 AM,8:47:20 AM,,0:02:03,123,,,
4,1,11,F,NA,4,8:45:52 AM,8:46:05 AM,8:46:05 AM,,NA,#VALUE!,,,
4,1,12,F,NA,7:00,8:46:00 AM,8:47:03 AM,8:48:07 AM,,0:01:04,64,,,
4,1,13,F,NA,1:00,8:46:08 AM,8:46:08 AM,8:47:48 AM,,0:01:40,100,,,
4,1,14,F,NA,6,8:46:12 AM,8:52:24 AM,8:53:02 AM,,0:00:38,38,Maybe wasn't mating,,
4,1,15,F,NA,8,8:46:54 AM,8:47:35 AM,8:49:25 AM,,0:01:50,110,,,
4,1,16,F,NA,4:00,8:46:57 AM,8:47:36 AM,8:49:04 AM,,0:01:28,88,,,
4,3,1,M,NA,:1,8:44:03 AM,8:48:04 AM,8:49:44 AM,,0:01:40,100,,,
4,3,2,M,NA,0.6,8:44:09 AM,8:44:58 AM,8:46:30 AM,,0:01:32,92,,,
4,3,3,M,NA,0.1,8:44:16 AM,8:45:15 AM,8:46:52 AM,,0:01:37,97,,,
4,3,4,M,NA,:7,8:44:19 AM,8:53:55 AM,8:55:48 AM,,0:01:53,113,,,
4,3,5,M,NA,0.5,8:44:22 AM,8:44:47 AM,8:46:27 AM,,0:01:40,100,,,
4,3,6,M,NA,0.3,8:44:25 AM,8:54:52 AM,8:56:10 AM,,0:01:18,78,,,
4,3,7,M,NA,0.8,8:44:29 AM,8:47:31 AM,8:49:01 AM,,0:01:30,90,,,
4,3,8,M,NA,:9,8:44:33 AM,8:46:02 AM,8:47:22 AM,,0:01:20,80,,,
4,3,9,M,NA,0,8:45:37 AM,8:57:38 AM,8:58:51 AM,,0:01:13,73,second female,,
4,3,10,M,NA,0.2,8:45:40 AM,8:46:48 AM,8:48:20 AM,,0:01:32,92,,,
4,3,11,M,NA,0.4,8:45:43 AM,8:48:49 AM,8:50:38 AM,,0:01:49,109,,,
4,3,12,M,NA,0.7,8:45:48 AM,8:46:46 AM,8:47:35 AM,,0:00:49,49,,,
4,3,13,M,NA,:0,8:45:55 AM,8:46:40 AM,8:47:48 AM,,0:01:08,68,,,
4,3,14,M,NA,:6,8:45:58 AM,,,,NA,#VALUE!,"second female, lousy",,
4,3,15,M,NA,0.9,8:46:11 AM,8:46:42 AM,8:48:35 AM,,0:01:53,113,,,
4,3,16,M,NA,:4,8:46:17 AM,8:52:59 AM,8:54:46 AM,,0:01:47,107,,,
4,3,1,F,Mated,1:00,9:12:46 AM,9:12:58 AM,9:14:30 AM,,0:01:32,92,,,
4,3,2,F,Non-mated,3:00,9:13:09 AM,,,,NA,#VALUE!,,,
4,3,3,F,Mated,5,9:13:25 AM,9:13:43 AM,9:14:54 AM,,0:01:11,71,,,
4,3,4,F,Non-mated,0,9:13:38 AM,,,,NA,#VALUE!,,,
4,3,5,F,Mated,1,9:13:52 AM,9:14:11 AM,9:15:42 AM,,0:01:31,91,excluded,,
4,3,6,F,Non-mated,2,9:14:28 AM,,,,NA,#VALUE!,,,
4,3,7,F,Mated,4:00,9:15:45 AM,9:16:23 AM,9:17:26 AM,,0:01:03,63,excluded,,
4,3,8,F,Non-mated,6,9:16:26 AM,,,,NA,#VALUE!,,,
4,3,9,F,Mated,7:00,9:16:53 AM,9:16:54 AM,9:18:00 AM,,0:01:06,66,,,
4,3,10,F,Non-mated,4,9:17:03 AM,,,,NA,#VALUE!,excluded,,
4,3,11,F,Mated,3,9:17:15 AM,9:17:34 AM,9:18:57 AM,,0:01:23,83,,,
4,3,12,F,Non-mated,7,9:19:39 AM,,,,NA,#VALUE!,,,
4,3,13,F,Mated,0:00,9:20:09 AM,9:20:54 AM,9:22:01 AM,,0:01:07,67,,,
4,3,14,F,Non-mated,9,9:20:18 AM,,,,NA,#VALUE!,,,
4,3,15,F,Mated,8,9:20:35 AM,9:21:00 AM,9:23:23 AM,,0:02:23,143,,,
5,1,1,F,NA,6,8:36:35 AM,8:36:45 AM,8:38:01 AM,,0:01:16,76,,,
5,1,2,F,NA,7,8:36:41 AM,8:37:15 AM,8:40:07 AM,,0:02:52,172,,,
5,1,3,F,NA,2,8:36:50 AM,8:42:47 AM,8:43:53 AM,,0:01:06,66,,,
5,1,4,F,NA,7:00,8:36:57 AM,8:37:31 AM,8:40:09 AM,,0:02:38,158,,,
5,1,5,F,NA,3,8:37:02 AM,8:37:21 AM,8:40:10 AM,,0:02:49,169,,,
5,1,6,F,NA,8,8:37:10 AM,8:37:43 AM,8:40:00 AM,,0:02:17,137,,,
5,1,7,F,NA,1:00,8:37:25 AM,8:42:50 AM,8:43:51 AM,,0:01:01,61,,,
5,1,8,F,NA,1,8:37:38 AM,8:42:51 AM,8:44:24 AM,,0:01:33,93,,,
5,1,9,F,NA,0,8:37:41 AM,8:38:42 AM,8:40:18 AM,,0:01:36,96,,,
5,1,10,F,NA,9,8:38:09 AM,8:40:23 AM,8:43:37 AM,,0:03:14,194,,,
5,1,11,F,NA,5,8:38:16 AM,8:38:48 AM,8:40:35 AM,,0:01:47,107,,,
5,1,12,F,NA,3:00,8:38:24 AM,8:39:03 AM,8:40:42 AM,,0:01:39,99,,,
5,1,13,F,NA,4,8:38:36 AM,8:39:02 AM,8:41:00 AM,,0:01:58,118,,,
5,1,14,F,NA,6:00,8:38:51 AM,8:40:49 AM,8:41:40 AM,,0:00:51,51,,,
5,1,15,F,NA,9:00,8:38:55 AM,8:39:15 AM,8:40:57 AM,,0:01:42,102,,,
5,1,16,F,NA,0:00,8:39:22 AM,8:42:56 AM,8:44:08 AM,,0:01:12,72,,,
5,1,17,F,NA,4:00,8:39:43 AM,8:42:57 AM,8:44:54 AM,,0:01:57,117,,,
5,3,1,M,NA,0,8:44:29 AM,8:48:22 AM,8:49:27 AM,,0:01:05,65,,,
5,3,2,M,NA,0.1,8:44:38 AM,8:44:56 AM,8:47:03 AM,,0:02:07,127,,,
5,3,3,M,NA,0.2,8:44:47 AM,8:45:43 AM,8:47:37 AM,,0:01:54,114,,,
5,3,4,M,NA,0.3,8:44:55 AM,8:45:33 AM,8:47:04 AM,,0:01:31,91,,,
5,3,5,M,NA,0.4,8:45:01 AM,8:55:34 AM,8:57:29 AM,,0:01:55,115,,,
5,3,6,M,NA,:3,8:45:16 AM,8:46:02 AM,8:48:08 AM,,0:02:06,126,,,
5,3,7,M,NA,:1,8:45:22 AM,8:52:11 AM,8:53:35 AM,,0:01:24,84,,,
5,3,8,M,NA,0.8,8:45:29 AM,8:55:32 AM,8:57:17 AM,,0:01:45,105,,,
5,3,9,M,NA,0.9,8:45:59 AM,8:46:40 AM,8:48:10 AM,,0:01:30,90,,,
5,3,10,M,NA,:0,8:46:06 AM,8:46:18 AM,8:48:04 AM,,0:01:46,106,,,
5,3,11,M,NA,:6,8:46:11 AM,8:58:17 AM,8:58:38 AM,,0:00:21,21,,,
5,3,12,M,NA,0.7,8:46:22 AM,8:48:03 AM,8:49:22 AM,,0:01:19,79,,,
5,3,13,M,NA,0.6,8:46:37 AM,8:50:46 AM,8:52:51 AM,,0:02:05,125,,,
5,3,14,M,NA,0.5,8:46:43 AM,8:47:53 AM,8:49:20 AM,,0:01:27,87,,,
5,3,15,M,NA,:7,8:46:51 AM,8:50:50 AM,8:52:49 AM,,0:01:59,119,,,
5,3,16,M,NA,:9,8:47:00 AM,9:00:06 AM,9:01:08 AM,,0:01:02,62,Added female,,
5,3,1,F,Mated,4,9:13:18 AM,9:13:35 AM,9:14:59 AM,,0:01:24,84,Excluded,,
5,3,2,F,Non-mated,9,9:13:28 AM,,,,NA,#VALUE!,,,
5,3,3,F,Mated,8,9:13:47 AM,9:15:01 AM,9:16:15 AM,,0:01:14,74,,,
5,3,4,F,Non-mated,5,9:14:00 AM,,,,NA,#VALUE!,,,
5,3,5,F,Mated,7:00,9:14:14 AM,9:14:52 AM,9:16:22 AM,,0:01:30,90,,,
5,3,6,F,Non-mated,2,9:14:29 AM,,,,NA,#VALUE!,,,
5,3,7,F,Mated,0,9:14:46 AM,9:15:32 AM,9:16:43 AM,,0:01:11,71,,,
5,3,8,F,Non-mated,1:00,9:16:02 AM,,,,NA,#VALUE!,Excluded,,
5,3,9,F,Mated,5:00,9:17:21 AM,9:17:55 AM,9:20:23 AM,,0:02:28,148,Excluded,,
5,3,10,F,Non-mated,1,9:17:45 AM,,,,NA,#VALUE!,,,
5,3,11,F,Mated,7,9:18:08 AM,9:18:10 AM,9:20:25 AM,,0:02:15,135,,,
5,3,12,F,Non-mated,6,9:19:02 AM,,,,NA,#VALUE!,,,
5,3,13,F,Mated,3,9:19:50 AM,9:20:12 AM,9:21:20 AM,,0:01:08,68,,,
5,3,14,F,Non-mated,9:00,9:20:16 AM,,,,NA,#VALUE!,Excluded,,
5,3,15,F,Mated,6:00,9:20:48 AM,9:22:12 AM,9:23:49 AM,,0:01:37,97,,,
5,3,16,F,Non-mated,0:00,9:21:49 AM,,,,NA,#VALUE!,,,
